no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,121640
2,Next Level,aespa,댄스,172914
3,신호등,이무진,록/메탈,130353
4,Permission to Dance,방탄소년단,댄스,134781
5,Butter,방탄소년단,댄스,228128
6,Weekend,태연 (TAEYEON),댄스,83716
7,헤픈 우연,헤이즈 (Heize),R&B/Soul,131266
8,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,84774
9,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,130872
10,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,181825
11,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",283632
12,나를 아는 사람,MSG워너비(정상동기),발라드,64091
13,좋아좋아,조정석,"국내드라마, 발라드",30831
14,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",64586
15,Dynamite,방탄소년단,댄스,418452
16,라일락,아이유,"댄스, 발라드, R&B/Soul",206708
17,비와 당신,이무진,"국내드라마, 록/메탈",60935
18,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",113510
19,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",92157
20,하루만 더,빅마마,발라드,33414
21,Celebrity,아이유,"댄스, 발라드, R&B/Soul",293296
22,운전만해 (We Ride),브레이브걸스,댄스,125219
23,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",57679
24,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,97935
25,상상더하기,라붐 (LABOUM),"댄스, 발라드",116169
26,Timeless,SG 워너비,발라드,97970
27,멜로디,ASH ISLAND,랩/힙합,97662
28,내 손을 잡아,아이유,"발라드, 국내드라마",161316
29,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,63440
30,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,86486
31,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,180429
32,넌 좋은 사람,SG 워너비,발라드,21411
33,밤하늘의 별을(2020),경서,발라드,157834
34,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",426363
35,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",195343
36,라라라,SG 워너비,"발라드, 댄스",81692
37,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",187460
38,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,96911
39,잠이 오질 않네요,장범준,발라드,143455
40,추억은 만남보다 이별에 남아,정동하,발라드,51374
41,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,363306
42,Blueming,아이유,록/메탈,312931
43,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,39746
44,다정히 내 이름을 부르면,경서예지,발라드,29170
45,아로하,조정석,"국내드라마, 발라드",222632
46,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,196023
47,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",57137
48,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),"발라드, 록/메탈, 포크/블루스",354677
49,난 너를 사랑해,MSG워너비,발라드,16266
50,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",222083
51,봄날,방탄소년단,"랩/힙합, 발라드",544878
52,내사람,SG 워너비,R&B/Soul,67576
53,Off My Face,Justin Bieber,POP,58925
54,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",88769
55,2002,Anne-Marie,POP,364746
56,Coin,아이유,"댄스, 발라드, R&B/Soul",98255
57,가을 우체국 앞에서,김대명,"국내드라마, 발라드",25709
58,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,187415
59,METEOR,창모 (CHANGMO),랩/힙합,266320
60,고백,장범준,록/메탈,11564
61,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",134055
62,그날에 나는 맘이 편했을까,이예준,발라드,57376
63,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",290309
64,12:45 (Stripped),Etham,POP,143454
65,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",107435
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",371769
67,허리춤,오반 (OVAN),"랩/힙합, 인디음악",22253
68,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",163229
69,Bad Habits,Ed Sheeran,POP,26156
70,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",230949
71,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",82206
72,Memories,Maroon 5,POP,171500
73,러브(Prod.로코베리),로꼬,랩/힙합,22572
74,나는 너 좋아,장범준,"국내드라마, 록/메탈",14064
75,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",180866
76,다시 사랑할 수 있을까,백지영,발라드,12085
77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",241237
78,슈퍼스타,미도와 파라솔,"국내드라마, 록/메탈",10822
79,사실 나는 (Feat.전건호),경서예지,발라드,78003
80,늦은 밤 너의 집 앞 골목길에서,노을,발라드,183692
81,How You Like That,BLACKPINK,댄스,181448
82,그냥 안아달란 말야,다비치,발라드,39656
83,체념,MSG워너비(정상동기),"발라드, 댄스",22237
84,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,71299
85,Dance Monkey,Tones And I,POP,160598
86,이제 나만 믿어요,임영웅,성인가요,132327
87,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106279
88,추적이는 여름 비가 되어,장범준,"발라드, 록/메탈",24337
89,Way Back Home (2021),런치,일렉트로니카,14259
90,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",49308
91,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드,28860
92,Paris In The Rain,Lauv,POP,257843
93,마음을 드려요,아이유,"국내드라마, 발라드",211794
94,한여름밤의 꿀 : 다시 여름,San E,랩/힙합,14947
95,살다가,SG 워너비,발라드,69373
96,Don't Start Now,Dua Lipa,POP,142724
97,너를 만나,폴킴,발라드,291286
98,Love poem,아이유,록/메탈,307110
99,오늘따라 더 미운 그대가,전상근,발라드,17345
100,잡아줄게 (Carabiner),ASH ISLAND,랩/힙합,20380
