no,title,artist,genre,good
1,신호등,이무진,록/메탈,159789
2,바라만 본다,MSG워너비(M.O.M),발라드,137473
3,Next Level,aespa,댄스,184311
4,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",78175
5,Weekend,태연 (TAEYEON),댄스,105215
6,Permission to Dance,방탄소년단,댄스,152823
7,Butter,방탄소년단,댄스,234289
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,138574
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,187226
10,좋아좋아,조정석,"국내드라마, 발라드",45714
11,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,135367
12,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,83682
13,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",285496
14,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,88715
15,Dynamite,방탄소년단,댄스,420244
16,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",69427
17,비와 당신,이무진,"국내드라마, 록/메탈",69317
18,라일락,아이유,"댄스, 발라드, R&B/Soul",209926
19,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",117470
20,고백,10CM,록/메탈,13403
21,나를 아는 사람,MSG워너비(정상동기),발라드,66713
22,Celebrity,아이유,"댄스, 발라드, R&B/Soul",295193
23,하루만 더,빅마마,발라드,38759
24,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",98660
25,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,102606
26,운전만해 (We Ride),브레이브걸스,댄스,126950
27,비가 오는 날엔 (2021),헤이즈 (Heize),"국내드라마, 발라드",20174
28,상상더하기,라붐 (LABOUM),"댄스, 발라드",119441
29,Timeless,SG 워너비,발라드,100153
30,내 손을 잡아,아이유,"발라드, 국내드라마",163473
31,멜로디,ASH ISLAND,랩/힙합,101412
32,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",60088
33,Bad Habits,Ed Sheeran,POP,36666
34,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,89159
35,DUMB DUMB,전소미,댄스,22545
36,다정히 내 이름을 부르면,경서예지,발라드,34384
37,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,182258
38,밤하늘의 별을(2020),경서,발라드,159754
39,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",197276
40,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",427228
41,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",188847
42,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",93289
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"발라드, 록/메탈, 포크/블루스",356956
44,STAY,The Kid LAROI,POP,39431
45,추억은 만남보다 이별에 남아,정동하,발라드,54123
46,Off My Face,Justin Bieber,POP,63950
47,라라라,SG 워너비,"발라드, 댄스",83208
48,아로하,조정석,"국내드라마, 발라드",224266
49,Blueming,아이유,록/메탈,314335
50,잠이 오질 않네요,장범준,발라드,144844
51,가을 우체국 앞에서,김대명,"국내드라마, 발라드",31015
52,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,98421
53,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,364440
54,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,46866
55,넌 좋은 사람,SG 워너비,발라드,26933
56,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,197168
57,봄날,방탄소년단,"랩/힙합, 발라드",546139
58,2002,Anne-Marie,POP,365942
59,허리춤,오반 (OVAN),"랩/힙합, 인디음악",27614
60,그날에 나는 맘이 편했을까,이예준,발라드,59295
61,슈퍼스타,미도와 파라솔,"국내드라마, 록/메탈",26403
62,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",223566
63,METEOR,창모 (CHANGMO),랩/힙합,267470
64,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,188283
65,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",25421
66,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",291153
67,Coin,아이유,"댄스, 발라드, R&B/Soul",100188
68,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",109277
69,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",136932
70,12:45 (Stripped),Etham,POP,145226
71,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",58392
72,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",372726
73,내사람,SG 워너비,R&B/Soul,68678
74,고백,장범준,록/메탈,18128
75,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",232153
76,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",83978
77,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",164694
78,Memories,Maroon 5,POP,172960
79,You can't sit with us,선미,"댄스, 록/메탈",10673
80,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",181801
81,나는 너 좋아,장범준,"국내드라마, 록/메탈",17084
82,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",242295
83,사실 나는 (Feat.전건호),경서예지,발라드,79335
84,이제 나만 믿어요,임영웅,성인가요,133106
85,늦은 밤 너의 집 앞 골목길에서,노을,발라드,184439
86,How You Like That,BLACKPINK,댄스,182420
87,째깍 째깍 째깍 (with Beenzino),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",16428
88,난 너를 사랑해,MSG워너비,발라드,18544
89,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,72871
90,Dance Monkey,Tones And I,POP,161647
91,러브(Prod.로코베리),로꼬,랩/힙합,26250
92,다시 사랑할 수 있을까,백지영,발라드,14430
93,그냥 안아달란 말야,다비치,발라드,40973
94,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,"국내드라마, 발라드, 록/메탈",14099
95,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",51620
96,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106892
97,마음을 드려요,아이유,"국내드라마, 발라드",213066
98,추적이는 여름 비가 되어,장범준,"발라드, 록/메탈",26578
99,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드,30648
100,너에게,유연석,"국내드라마, 발라드",8721
