no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,133804
2,신호등,이무진,록/메탈,151046
3,Next Level,aespa,댄스,181263
4,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",67534
5,Permission to Dance,방탄소년단,댄스,148634
6,Weekend,태연 (TAEYEON),댄스,99138
7,Butter,방탄소년단,댄스,232782
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,136502
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,185700
10,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,134178
11,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,87808
12,좋아좋아,조정석,"국내드라마, 발라드",41711
13,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",285063
14,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",68160
15,Dynamite,방탄소년단,댄스,419784
16,라일락,아이유,"댄스, 발라드, R&B/Soul",209072
17,비와 당신,이무진,"국내드라마, 록/메탈",67089
18,나를 아는 사람,MSG워너비(정상동기),발라드,66096
19,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,77129
20,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",116419
21,Celebrity,아이유,"댄스, 발라드, R&B/Soul",294671
22,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",97095
23,하루만 더,빅마마,발라드,37373
24,운전만해 (We Ride),브레이브걸스,댄스,126492
25,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,101367
26,상상더하기,라붐 (LABOUM),"댄스, 발라드",118640
27,Timeless,SG 워너비,발라드,99538
28,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",59474
29,내 손을 잡아,아이유,"발라드, 국내드라마",162867
30,멜로디,ASH ISLAND,랩/힙합,100287
31,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,88400
32,밤하늘의 별을(2020),경서,발라드,159144
33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,181735
34,다정히 내 이름을 부르면,경서예지,발라드,32783
35,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",196672
36,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",188432
37,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",427048
38,라라라,SG 워너비,"발라드, 댄스",82826
39,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",22911
40,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",92029
41,넌 좋은 사람,SG 워너비,발라드,25915
42,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"발라드, 록/메탈, 포크/블루스",356330
43,추억은 만남보다 이별에 남아,정동하,발라드,53320
44,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,97984
45,잠이 오질 않네요,장범준,발라드,144479
46,Blueming,아이유,록/메탈,313943
47,아로하,조정석,"국내드라마, 발라드",223791
48,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,364150
49,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,44912
50,가을 우체국 앞에서,김대명,"국내드라마, 발라드",29626
51,Bad Habits,Ed Sheeran,POP,32518
