no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,133037
2,신호등,이무진,록/메탈,149485
3,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",64698
4,Next Level,aespa,댄스,180673
5,Permission to Dance,방탄소년단,댄스,147734
6,Weekend,태연 (TAEYEON),댄스,97973
7,Butter,방탄소년단,댄스,232479
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,136067
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,185382
10,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,133942
11,좋아좋아,조정석,"국내드라마, 발라드",41008
12,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,87611
13,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",284969
14,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",67869
15,Dynamite,방탄소년단,댄스,419685
16,비와 당신,이무진,"국내드라마, 록/메탈",66698
17,나를 아는 사람,MSG워너비(정상동기),발라드,65977
18,라일락,아이유,"댄스, 발라드, R&B/Soul",208871
19,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",116168
20,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,75854
21,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",96762
22,Celebrity,아이유,"댄스, 발라드, R&B/Soul",294575
23,하루만 더,빅마마,발라드,37089
24,운전만해 (We Ride),브레이브걸스,댄스,126400
25,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,101120
26,상상더하기,라붐 (LABOUM),"댄스, 발라드",118442
27,Timeless,SG 워너비,발라드,99420
28,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",59368
29,내 손을 잡아,아이유,"발라드, 국내드라마",162753
30,멜로디,ASH ISLAND,랩/힙합,100086
31,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,88237
32,밤하늘의 별을(2020),경서,발라드,159041
33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,181619
34,다정히 내 이름을 부르면,경서예지,발라드,32474
35,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",22295
36,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",196554
37,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",188361
38,라라라,SG 워너비,"발라드, 댄스",82755
39,넌 좋은 사람,SG 워너비,발라드,25664
40,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",427001
41,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",91778
