no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,120014
2,Next Level,aespa,댄스,171858
3,신호등,이무진,록/메탈,127959
4,Permission to Dance,방탄소년단,댄스,132745
5,Butter,방탄소년단,댄스,227591
6,Weekend,태연 (TAEYEON),댄스,81904
7,헤픈 우연,헤이즈 (Heize),R&B/Soul,130676
8,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,84359
9,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,130508
10,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,181445
11,나를 아는 사람,MSG워너비(정상동기),발라드,63786
12,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",283465
13,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",64171
14,좋아좋아,조정석,"국내드라마, 발라드",28899
15,Dynamite,방탄소년단,댄스,418278
16,라일락,아이유,"댄스, 발라드, R&B/Soul",206487
17,비와 당신,이무진,"국내드라마, 록/메탈",60247
18,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",113187
19,하루만 더,빅마마,발라드,32803
20,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",91629
21,Celebrity,아이유,"댄스, 발라드, R&B/Soul",293166
22,운전만해 (We Ride),브레이브걸스,댄스,125068
23,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",57438
24,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,97635
25,상상더하기,라붐 (LABOUM),"댄스, 발라드",115900
26,Timeless,SG 워너비,발라드,97786
27,멜로디,ASH ISLAND,랩/힙합,97410
28,내 손을 잡아,아이유,"발라드, 국내드라마",161174
29,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,86311
30,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,62228
31,넌 좋은 사람,SG 워너비,발라드,20727
32,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,180275
33,밤하늘의 별을(2020),경서,발라드,157710
34,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",426268
35,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",195178
36,라라라,SG 워너비,"발라드, 댄스",81563
37,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,96801
38,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",187373
39,잠이 오질 않네요,장범준,발라드,143356
40,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,39232
41,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,363227
42,추억은 만남보다 이별에 남아,정동하,발라드,51191
43,난 너를 사랑해,MSG워너비,발라드,15965
44,Blueming,아이유,록/메탈,312817
45,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",57031
46,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,195945
47,다정히 내 이름을 부르면,경서예지,발라드,28821
48,아로하,조정석,"국내드라마, 발라드",222511
49,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),"발라드, 록/메탈, 포크/블루스",354576
50,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",221960
51,봄날,방탄소년단,"랩/힙합, 발라드",544760
52,Off My Face,Justin Bieber,POP,58647
53,가을 우체국 앞에서,김대명,"국내드라마, 발라드",25272
54,내사람,SG 워너비,R&B/Soul,67480
55,고백,장범준,록/메탈,10578
56,Coin,아이유,"댄스, 발라드, R&B/Soul",98117
57,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",88533
58,2002,Anne-Marie,POP,364647
59,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,187351
60,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",133905
61,그날에 나는 맘이 편했을까,이예준,발라드,57260
62,METEOR,창모 (CHANGMO),랩/힙합,266228
63,12:45 (Stripped),Etham,POP,143350
64,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",290261
65,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",107362
66,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",371709
67,나는 너 좋아,장범준,"국내드라마, 록/메탈",13776
68,Bad Habits,Ed Sheeran,POP,25585
69,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",163107
70,허리춤,오반 (OVAN),"랩/힙합, 인디음악",21781
71,러브(Prod.로코베리),로꼬,랩/힙합,22174
72,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",82093
73,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",230885
74,다시 사랑할 수 있을까,백지영,발라드,11883
75,Memories,Maroon 5,POP,171414
76,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",180786
77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",241182
78,사실 나는 (Feat.전건호),경서예지,발라드,77918
79,늦은 밤 너의 집 앞 골목길에서,노을,발라드,183630
80,그냥 안아달란 말야,다비치,발라드,39593
81,How You Like That,BLACKPINK,댄스,181370
82,체념,MSG워너비(정상동기),"발라드, 댄스",22163
83,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,71213
84,Dance Monkey,Tones And I,POP,160511
85,이제 나만 믿어요,임영웅,성인가요,132283
86,추적이는 여름 비가 되어,장범준,"발라드, 록/메탈",24178
87,Way Back Home (2021),런치,일렉트로니카,14024
88,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106246
89,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",49182
90,한여름밤의 꿀 : 다시 여름,San E,랩/힙합,14761
91,Paris In The Rain,Lauv,POP,257768
92,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드,28735
93,마음을 드려요,아이유,"국내드라마, 발라드",211696
94,살다가,SG 워너비,발라드,69307
95,Don't Start Now,Dua Lipa,POP,142645
96,너를 만나,폴킴,발라드,291250
97,Love poem,아이유,록/메탈,306994
98,오늘따라 더 미운 그대가,전상근,발라드,17228
99,또 새벽이 오면 (Feat. 백현 (BAEKHYUN)),Colde (콜드),R&B/Soul,19354
100,잡아줄게 (Carabiner),ASH ISLAND,랩/힙합,20086
