no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,130337
2,신호등,이무진,록/메탈,144451
3,Next Level,aespa,댄스,178808
4,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",53809
5,Permission to Dance,방탄소년단,댄스,144702
6,Butter,방탄소년단,댄스,231445
7,Weekend,태연 (TAEYEON),댄스,94310
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,134821
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,184471
10,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,133157
11,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,86974
12,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",284661
13,좋아좋아,조정석,"국내드라마, 발라드",38563
14,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",67103
15,Dynamite,방탄소년단,댄스,419401
16,라일락,아이유,"댄스, 발라드, R&B/Soul",208307
17,나를 아는 사람,MSG워너비(정상동기),발라드,65530
18,비와 당신,이무진,"국내드라마, 록/메탈",65135
19,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",115508
20,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",95655
21,Celebrity,아이유,"댄스, 발라드, R&B/Soul",294226
22,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,71973
23,하루만 더,빅마마,발라드,36233
24,운전만해 (We Ride),브레이브걸스,댄스,126094
25,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,100236
26,상상더하기,라붐 (LABOUM),"댄스, 발라드",117891
27,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",58975
28,Timeless,SG 워너비,발라드,99034
29,멜로디,ASH ISLAND,랩/힙합,99391
30,내 손을 잡아,아이유,"발라드, 국내드라마",162354
31,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,87756
32,밤하늘의 별을(2020),경서,발라드,158684
33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,181303
34,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",196215
35,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",188125
36,다정히 내 이름을 부르면,경서예지,발라드,31531
37,라라라,SG 워너비,"발라드, 댄스",82463
38,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",19477
39,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",426844
40,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,97665
41,잠이 오질 않네요,장범준,발라드,144128
42,추억은 만남보다 이별에 남아,정동하,발라드,52643
43,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",90880
44,아로하,조정석,"국내드라마, 발라드",223418
45,넌 좋은 사람,SG 워너비,발라드,24615
46,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"발라드, 록/메탈, 포크/블루스",355810
47,Blueming,아이유,록/메탈,313561
48,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,363867
49,가을 우체국 앞에서,김대명,"국내드라마, 발라드",28311
50,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,196562
51,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,43006
52,Off My Face,Justin Bieber,POP,60922
53,째깍 째깍 째깍 (with Beenzino),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",12835
54,Bad Habits,Ed Sheeran,POP,30277
55,2002,Anne-Marie,POP,365347
56,봄날,방탄소년단,"랩/힙합, 발라드",545500
57,내사람,SG 워너비,R&B/Soul,68186
58,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",222840
59,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,187837
60,그날에 나는 맘이 편했을까,이예준,발라드,58278
61,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",57824
62,허리춤,오반 (OVAN),"랩/힙합, 인디음악",25093
63,슈퍼스타,미도와 파라솔,"국내드라마, 록/메탈",21049
64,METEOR,창모 (CHANGMO),랩/힙합,266898
65,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",290675
66,Coin,아이유,"댄스, 발라드, R&B/Soul",99162
67,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",135166
68,12:45 (Stripped),Etham,POP,144273
69,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",108307
70,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",372152
71,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",163934
72,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",83032
73,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",231473
74,Memories,Maroon 5,POP,172166
75,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",181286
76,BENCH (with Zion.T),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",10820
77,이제 나만 믿어요,임영웅,성인가요,132628
78,난 너를 사랑해,MSG워너비,발라드,17598
79,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",241690
80,사실 나는 (Feat.전건호),경서예지,발라드,78611
81,고백,장범준,록/메탈,15372
82,Stupid love song (with Crush),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",12772
83,나는 너 좋아,장범준,"국내드라마, 록/메탈",15568
84,늦은 밤 너의 집 앞 골목길에서,노을,발라드,184054
85,How You Like That,BLACKPINK,댄스,181899
86,Dance Monkey,Tones And I,POP,161107
87,러브(Prod.로코베리),로꼬,랩/힙합,24565
88,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,72014
89,다시 사랑할 수 있을까,백지영,발라드,13265
90,그냥 안아달란 말야,다비치,발라드,40154
91,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106561
92,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",50377
93,체념,MSG워너비(정상동기),"발라드, 댄스",22728
