no,title,artist,genre,good
80,EVEREST (with Sam Kim),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",7401
81,이제 나만 믿어요,임영웅,성인가요,132465
82,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",241465
83,러브(Prod.로코베리),로꼬,랩/힙합,23647
84,사실 나는 (Feat.전건호),경서예지,발라드,78290
85,다시 사랑할 수 있을까,백지영,발라드,12693
86,늦은 밤 너의 집 앞 골목길에서,노을,발라드,183861
87,How You Like That,BLACKPINK,댄스,181669
88,슈퍼스타,미도와 파라솔,"국내드라마, 록/메탈",16572
89,나는 너 좋아,장범준,"국내드라마, 록/메탈",14728
90,Rose,디오 (D.O.),"발라드, 포크/블루스, R&B/Soul",42104
91,그냥 안아달란 말야,다비치,발라드,39895
92,Dance Monkey,Tones And I,POP,160852
93,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,71620
94,체념,MSG워너비(정상동기),"발라드, 댄스",22477
95,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106404
96,추적이는 여름 비가 되어,장범준,"발라드, 록/메탈",24878
97,Way Back Home (2021),런치,일렉트로니카,14984
98,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",49810
99,취미,박재정,발라드,6758
100,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드,29244
