no,title,artist,genre,good
1,바라만 본다,MSG워너비(M.O.M),발라드,126116
2,Next Level,aespa,댄스,175989
3,신호등,이무진,록/메탈,137453
4,Permission to Dance,방탄소년단,댄스,140102
5,Butter,방탄소년단,댄스,229817
6,Weekend,태연 (TAEYEON),댄스,89057
7,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",30872
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,133002
9,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,85886
10,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,182980
11,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,131963
12,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",284130
13,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",65842
14,나를 아는 사람,MSG워너비(정상동기),발라드,64846
15,좋아좋아,조정석,"국내드라마, 발라드",34789
16,Dynamite,방탄소년단,댄스,418938
17,라일락,아이유,"댄스, 발라드, R&B/Soul",207481
18,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",114489
19,비와 당신,이무진,"국내드라마, 록/메탈",63017
20,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",93948
21,하루만 더,빅마마,발라드,34942
22,Celebrity,아이유,"댄스, 발라드, R&B/Soul",293758
23,운전만해 (We Ride),브레이브걸스,댄스,125663
24,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,98978
25,상상더하기,라붐 (LABOUM),"댄스, 발라드",117006
26,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",58371
27,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,67714
28,Timeless,SG 워너비,발라드,98451
29,멜로디,ASH ISLAND,랩/힙합,98480
30,내 손을 잡아,아이유,"발라드, 국내드라마",161827
31,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",12984
32,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,87115
33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,180818
34,째깍 째깍 째깍 (with Beenzino),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",8739
35,밤하늘의 별을(2020),경서,발라드,158233
36,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",195759
37,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",426632
38,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",187782
39,라라라,SG 워너비,"발라드, 댄스",82011
40,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,97274
41,BENCH (with Zion.T),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",7571
42,다정히 내 이름을 부르면,경서예지,발라드,30292
43,잠이 오질 않네요,장범준,발라드,143778
44,넌 좋은 사람,SG 워너비,발라드,22839
45,추억은 만남보다 이별에 남아,정동하,발라드,51987
46,Blueming,아이유,록/메탈,313247
47,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,363591
48,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"발라드, 록/메탈, 포크/블루스",355248
49,아로하,조정석,"국내드라마, 발라드",222991
50,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",89738
51,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,41360
52,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,196264
53,Stupid love song (with Crush),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",8777
54,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",222448
55,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",57483
56,봄날,방탄소년단,"랩/힙합, 발라드",545226
57,Off My Face,Justin Bieber,POP,59907
58,2002,Anne-Marie,POP,365047
59,내사람,SG 워너비,R&B/Soul,67851
60,난 너를 사랑해,MSG워너비,발라드,17053
61,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,187624
62,그날에 나는 맘이 편했을까,이예준,발라드,57840
63,Coin,아이유,"댄스, 발라드, R&B/Soul",98699
64,고백,장범준,록/메탈,14151
65,METEOR,창모 (CHANGMO),랩/힙합,266612
66,Bad Habits,Ed Sheeran,POP,28118
67,허리춤,오반 (OVAN),"랩/힙합, 인디음악",23742
68,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",290483
69,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",134474
70,맞짱 (with 잔나비 최정훈),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",8118
71,가을 우체국 앞에서,김대명,"국내드라마, 발라드",26661
72,12:45 (Stripped),Etham,POP,143864
73,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",107863
74,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",371949
75,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",163551
76,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",82619
77,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",181084
78,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",231191
79,Memories,Maroon 5,POP,171809
