no,title,artist,genre,good
1,신호등,이무진,록/메탈,161749
2,바라만 본다,MSG워너비(M.O.M),발라드,138159
3,Next Level,aespa,댄스,184953
4,낙하 (with 아이유),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",80203
5,Weekend,태연 (TAEYEON),댄스,106461
6,Permission to Dance,방탄소년단,댄스,153685
7,Butter,방탄소년단,댄스,234556
8,헤픈 우연,헤이즈 (Heize),R&B/Soul,138944
9,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,POP,187545
10,좋아좋아,조정석,"국내드라마, 발라드",46498
11,Dun Dun Dance,오마이걸 (OH MY GIRL),댄스,135602
12,OHAYO MY NIGHT,디핵 (D-Hack),랩/힙합,85027
13,롤린 (Rollin'),브레이브걸스,"댄스, R&B/Soul",285578
14,치맛바람 (Chi Mat Ba Ram),브레이브걸스,댄스,88879
15,Dynamite,방탄소년단,댄스,420310
16,Alcohol-Free,TWICE (트와이스),"댄스, R&B/Soul",69680
17,비와 당신,이무진,"국내드라마, 록/메탈",69741
18,라일락,아이유,"댄스, 발라드, R&B/Soul",210094
19,ASAP,STAYC(스테이씨),"댄스, R&B/Soul, 록/메탈, 일렉트로니카",117711
20,Celebrity,아이유,"댄스, 발라드, R&B/Soul",295310
21,나를 아는 사람,MSG워너비(정상동기),발라드,66803
22,하루만 더,빅마마,발라드,39012
23,안녕 (Hello),조이 (JOY),"발라드, R&B/Soul, 록/메탈",98996
24,고백,10CM,록/메탈,15452
25,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,랩/힙합,102846
26,비가 오는 날엔 (2021),헤이즈 (Heize),"국내드라마, 발라드",21696
27,운전만해 (We Ride),브레이브걸스,댄스,127054
28,상상더하기,라붐 (LABOUM),"댄스, 발라드",119608
29,Timeless,SG 워너비,발라드,100252
30,내 손을 잡아,아이유,"발라드, 국내드라마",163590
31,Bad Habits,Ed Sheeran,POP,37416
32,멜로디,ASH ISLAND,랩/힙합,101606
33,DUMB DUMB,전소미,댄스,24330
34,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)","발라드, 댄스",60187
35,밝게 빛나는 별이 되어 비춰줄게,송이한,R&B/Soul,89324
36,다정히 내 이름을 부르면,경서예지,발라드,34738
37,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,POP,182359
38,STAY,The Kid LAROI,POP,41646
39,밤하늘의 별을(2020),경서,발라드,159846
40,Lovesick Girls,BLACKPINK,"댄스, 랩/힙합, R&B/Soul",197384
41,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,"랩/힙합, R&B/Soul, 댄스",427273
42,어푸 (Ah puh),아이유,"댄스, 발라드, R&B/Soul",93559
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),"발라드, 록/메탈, 포크/블루스",357057
44,Dolphin,오마이걸 (OH MY GIRL),"댄스, 발라드",188917
45,Off My Face,Justin Bieber,POP,64285
46,추억은 만남보다 이별에 남아,정동하,발라드,54262
47,Blueming,아이유,록/메탈,314413
48,아로하,조정석,"국내드라마, 발라드",224350
49,라라라,SG 워너비,"발라드, 댄스",83274
50,잠이 오질 않네요,장범준,발라드,144902
51,둘 중에 골라 (Summer or Summer),효린,댄스,4204
52,에잇(Prod.&Feat. SUGA of BTS),아이유,록/메탈,364513
53,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,98499
54,가을 우체국 앞에서,김대명,"국내드라마, 발라드",31255
55,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),랩/힙합,47250
56,취기를 빌려 (취향저격 그녀 X 산들),산들,발라드,197237
57,넌 좋은 사람,SG 워너비,발라드,27125
58,봄날,방탄소년단,"랩/힙합, 발라드",546199
59,2002,Anne-Marie,POP,365997
60,Life Goes On,방탄소년단,"랩/힙합, 댄스, 발라드, R&B/Soul",223678
61,그날에 나는 맘이 편했을까,이예준,발라드,59420
62,허리춤,오반 (OVAN),"랩/힙합, 인디음악",27911
63,METEOR,창모 (CHANGMO),랩/힙합,267537
64,슈퍼스타,미도와 파라솔,"국내드라마, 록/메탈",26765
65,I Don't Love You (Feat. 쿠기),GRAY (그레이),랩/힙합,4480
66,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),랩/힙합,188319
67,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,"국내드라마, 록/메탈",291201
68,Coin,아이유,"댄스, 발라드, R&B/Soul",100304
69,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"발라드, 국내드라마",372780
70,On The Ground,로제 (ROSÉ),"록/메탈, 포크/블루스",137077
71,12:45 (Stripped),Etham,POP,145324
72,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,"발라드, 인디음악",109385
73,내사람,SG 워너비,R&B/Soul,68719
74,전쟁터 (with 이선희),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",25828
75,마.피.아. In the morning,ITZY (있지),"랩/힙합, 댄스",58465
76,오래된 노래,스탠딩 에그,"포크/블루스, 인디음악",232217
77,너의 번호를 누르고 (Prod. 영화처럼),#안녕,"발라드, 인디음악",84097
78,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),"랩/힙합, 인디음악",164773
79,고백,장범준,록/메탈,18526
80,이제 나만 믿어요,임영웅,성인가요,133165
81,Memories,Maroon 5,POP,173038
82,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),"R&B/Soul, 인디음악",242356
83,You can't sit with us,선미,"댄스, 록/메탈",11436
84,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),"댄스, 발라드",181826
85,나는 너 좋아,장범준,"국내드라마, 록/메탈",17233
86,사실 나는 (Feat.전건호),경서예지,발라드,79411
87,늦은 밤 너의 집 앞 골목길에서,노을,발라드,184476
88,How You Like That,BLACKPINK,댄스,182487
89,난 너를 사랑해,MSG워너비,발라드,18611
90,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,발라드,72963
91,째깍 째깍 째깍 (with Beenzino),AKMU (악뮤),"록/메탈, 댄스, R&B/Soul",16666
92,Dance Monkey,Tones And I,POP,161698
93,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,"국내드라마, 발라드, 록/메탈",14508
94,그냥 안아달란 말야,다비치,발라드,41018
95,다시 사랑할 수 있을까,백지영,발라드,14562
96,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),"발라드, 인디음악",51764
97,러브(Prod.로코베리),로꼬,랩/힙합,26399
98,마음을 드려요,아이유,"국내드라마, 발라드",213134
99,힘든 건 사랑이 아니다,임창정,"발라드, 댄스",106910
100,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),발라드,30736
